Age,DailyRate,DistanceFromHome,Education,Gender,HourlyRate,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,YearsWithCurrManager,TotalWorkingYears,Attrition
41,1102,1,2,0,94,4,5993,19479,8,5,8,Yes
49,279,8,1,1,61,2,5130,24907,1,7,10,No
37,1373,2,2,1,92,3,2090,2396,6,0,7,Yes
33,1392,3,4,0,56,3,2909,23159,1,0,8,No
27,591,2,1,1,40,2,3468,16632,9,2,6,No
32,1005,2,2,1,79,4,3068,11864,0,6,8,No
59,1324,3,3,0,81,1,2670,9964,4,0,12,No
30,1358,24,1,1,67,3,2693,13335,1,0,1,No
38,216,23,3,1,44,3,9526,8787,0,8,10,No
36,1299,27,3,1,94,3,5237,16577,6,4.97813774,17,No
35,809,16,3,1,84,2,2426,16479,0,3,6,No
29,153,15,2,0,49,3,4193,12682,0,8,10,No
31,670,26,1,1,31,3,2911,15170,1,3,5,No
34,1346,19,2,1,93,4,2661,8758,0,2,3,No
28,103,24,3,1,50,3,2028,12947,5,3,6,Yes
29,1389,21,4,0,51,1,9980,10195,1,8,10,No
32,334,5,2,1,80,2,3298,15053,0,5,7,No
22,1123,16,2,1,96,4,2935,7324,1,0,1,No
53,1219,2,4,0,78,4,15427,22021,2,7,31,No
38,371,2,3,1,45,4,3944,4306,5,2,6,No
24,673,11,2,0,96,3,4011,8232,0,3,5,No
36,1218,9,4,1,82,1,3407,6986,7,3,10,Yes
34,419,7,4,0,53,2,11994,21293,0,6.2104085,13,No
21,391,15,2,1,96,4,1232,19281,1,0,0,No
34,699,6,1,1,83,1,2960,17102,2,3,8,Yes
53,1282,5,3,0,58,3,19094,10735,4,8,26,No
32,1125,16,1,0,72,1,3919,4681,1,7,10,Yes
42,691,8,4,1,48,2,6825,21173,0,2,10,No
44,477,7,4,0,42,4,10248,2094,3,17,24,No
46,705,2,4,0,83,1,18947,22822,3,1,22,No
33,924,2,3,1,78,4,2496,6670,4,0,7,No
44,1459,10,4,1,41,4,6465,19121,2,3,9,No
30,125,9,2,1,83,3,2206,16117,1,8,10,No
39,895,5,3,1,56,4,2086,3335,3,0,19,Yes
24,813,1,3,1,61,4,2293,3020,2,0,6,Yes
43,1273,2,2,0,72,3,2645,21923,1,4,6,No
50,869,3,2,1,86,3,2683,3810,1,2,3,Yes
35,890,2,3,0,97,4,2014,9687,1,2,2,No
36,852,5,4,0,82,1,3419,13072,9,0,6,No
33,1141,1,3,0,42,1,5376,3193,2,3,10,No
35,464,4,2,1,75,4,1951,10910,1,0,1,No
27,1240,2,4,0,33,1,2341,19715,1,0,1,No
26,1357,25,3,1,48,3,2293,10558,1,1,1,Yes
27,994,8,3,1,37,3,8726,2975,1,7,9,No
30,721,1,2,0,58,4,4011,10781,1,7,12,No
41,1360,12,3,0,49,3,19545,16280,1,8,23,Yes
34,1065,23,4,1,72,3,4568,10034,0,7,10,No
37,408,19,2,1,73,2,3022,10227,4,0,8,No
46,1211,5,4,1,98,4,5772,20445,4,8,14,No
35,1229,8,1,1,36,4,2269,4892,1,1,1,No
48,626,1,2,1,98,3,5381,19294,9,0,23,Yes
28,1434,5,4,1,50,3,3441,11179,1,2,2,Yes
44,1488,1,5,0,75,1,5454,4009,5,3,9,No
35,1097,11,2,1,79,1,9884,8302,2,3,10,No
26,1443,23,3,0,47,4,4157,21436,7,0,5,No
33,515,1,2,0,98,4,13458,15146,1,12,15,No
35,853,18,5,1,71,1,9069,11031,1,8,9,No
35,1142,23,4,0,30,1,4014,16002,3,2,4,No
31,655,7,4,1,48,4,5915,9528,3,7,10,No
37,1115,1,4,1,51,3,5993,2689,1,7,7,No
32,427,1,3,1,33,4,6162,10877,1,8,9,No
38,653,29,5,0,50,4,2406,5456,1,9,10,No
50,989,7,2,0,43,3,18740,16701,5,8,29,No
59,1435,25,3,0,99,1,7637,2354,7,9,28,No
36,1223,8,3,0,59,3,10096,8202,1,8,17,No
55,836,8,3,0,33,3,14756,19730,2,2,21,No
36,1195,11,3,1,95,2,6499,22656,1,3,6,No
45,1339,7,3,1,59,1,9724,18787,2,0,25,No
35,664,1,3,1,79,1,2194,5868,4,2,5,No
36,318,9,3,1,79,3,3388,21777,0,0,2,Yes
59,1225,1,1,0,57,3,5473,24668,7,3,20,No
29,1328,2,3,1,76,2,2703,4956,0,4,6,No
31,1082,1,4,1,87,2,2501,18775,1,0,1,No
32,548,1,3,1,66,2,6220,7346,1,9,10,No
36,132,6,3,0,55,4,3038,22002,3,0,5,No
31,746,8,4,0,61,4,4424,20682,1,8,11,No
35,776,1,4,1,32,1,4312,23016,0,8,16,No
45,193,6,4,1,52,1,13245,15067,4,0,17,No
37,397,7,4,1,30,3,13664,25258,4,2,16,No
46,945,5,2,1,80,2,5021,10425,8,2,16,No
30,852,1,1,1,55,4,5126,15998,1,0,10,No
35,1214,1,3,1,30,3,2859,26278,1,4,6,No
55,111,1,2,1,70,4,10239,18092,3,0,24,No
38,573,6,3,0,79,4,5329,15717,7,9,17,No
34,1153,1,2,1,94,2,4325,17736,1,3,5,No
56,1400,7,3,1,49,4,7260,21698,4,2,37,No
